"特征","重要性","模型"
"bmi_category_Obese",100,"随机森林"
"lifestyle_risk_score",58.1935023692837,"随机森林"
"age",40.1787334481454,"随机森林"
"poverty_ratio",27.7296967497669,"随机森林"
"sleep_hours",20.2702541411214,"随机森林"
"education_Unknown",7.89676324245223,"随机森林"
"bmi_category_Overweight",5.51139156894417,"随机森林"
"smoking_binary_Unknown",4.91151267046388,"随机森林"
"alcohol_category_Non.drinker",4.65209162613461,"随机森林"
"gender_Male",4.3719623845453,"随机森林"
"sleep_quality_score",4.36203643492028,"随机森林"
"age_group_Unknown",4.09628701107138,"随机森林"
"bmi_category_Unknown",3.5944901506476,"随机森林"
"smoking_binary_Former.smoker",3.2839950963958,"随机森林"
"age_group_X50.64",2.87926100913166,"随机森林"
"education_Some.college.or.AA.degree",2.70943836053499,"随机森林"
"race_Non.Hispanic.White",2.69443220244639,"随机森林"
"race_Non.Hispanic.Black",2.48043888917847,"随机森林"
"education_High.school.graduate",2.44669623686123,"随机森林"
"alcohol_category_Light.drinker...1.day.",1.87322017657514,"随机森林"
"bmi_category_Obese",100,"逻辑回归"
"age",32.4902621321573,"逻辑回归"
"bmi_category_Unknown",29.2832672480677,"逻辑回归"
"bmi_category_Overweight",25.5454079828414,"逻辑回归"
"bmi_category_Underweight",21.5640208110948,"逻辑回归"
"lifestyle_risk_score",20.4660880976174,"逻辑回归"
"age_group_X50.64",13.845755484304,"逻辑回归"
"education_Unknown",8.14947339951931,"逻辑回归"
"age_group_X35.49",7.9148273457974,"逻辑回归"
"sleep_quality_score",5.48374845112265,"逻辑回归"
"race_Non.Hispanic.White",5.38094673232512,"逻辑回归"
"gender_Male",4.92035165971285,"逻辑回归"
"education_College.graduate.or.above",3.57926996757663,"逻辑回归"
"age_group_X65.",2.80212578538751,"逻辑回归"
"race_Non.Hispanic.Black",2.46428513831031,"逻辑回归"
"race_Non.Hispanic.Asian",2.38532676853183,"逻辑回归"
"smoking_binary_Former.smoker",2.21416836206683,"逻辑回归"
"alcohol_category_Non.drinker",1.36114389740655,"逻辑回归"
"alcohol_category_Moderate.drinker..2.day.",0.997412500444447,"逻辑回归"
"education_Some.college.or.AA.degree",0.88750473519446,"逻辑回归"
